Protein,Encoding,Model,Acquisition,Timestep,Mean,Std
GB1,AA,Boosting Ensemble,GREEDY,336,0.875758,0.017556902
GB1,AA,Boosting Ensemble,GREEDY,337,0.875758,0.017556902
GB1,AA,Boosting Ensemble,GREEDY,338,0.8790403,0.017224548
GB1,AA,Boosting Ensemble,GREEDY,339,0.8790403,0.017224548
GB1,AA,Boosting Ensemble,GREEDY,340,0.8790403,0.017224548
GB1,AA,Boosting Ensemble,GREEDY,341,0.8790403,0.017224548
GB1,AA,Boosting Ensemble,GREEDY,342,0.8790403,0.017224548
GB1,AA,Boosting Ensemble,GREEDY,343,0.880209,0.017302519
GB1,AA,Boosting Ensemble,GREEDY,344,0.880209,0.017302519
GB1,AA,Boosting Ensemble,GREEDY,345,0.880209,0.017302519
GB1,AA,Boosting Ensemble,GREEDY,346,0.880209,0.017302519
GB1,AA,Boosting Ensemble,GREEDY,347,0.880209,0.017302519
GB1,AA,Boosting Ensemble,GREEDY,348,0.880209,0.017302519
GB1,AA,Boosting Ensemble,GREEDY,349,0.880209,0.017302519
GB1,AA,Boosting Ensemble,GREEDY,350,0.880209,0.017302519
GB1,AA,Boosting Ensemble,GREEDY,351,0.88118243,0.017094782
GB1,AA,Boosting Ensemble,GREEDY,352,0.88118243,0.017094782
GB1,AA,Boosting Ensemble,GREEDY,353,0.88118243,0.017094782
GB1,AA,Boosting Ensemble,GREEDY,354,0.88118243,0.017094782
GB1,AA,Boosting Ensemble,GREEDY,355,0.88118243,0.017094782
GB1,AA,Boosting Ensemble,GREEDY,356,0.88118243,0.017094782
GB1,AA,Boosting Ensemble,GREEDY,357,0.88118243,0.017094782
GB1,AA,Boosting Ensemble,GREEDY,358,0.88118243,0.017094782
GB1,AA,Boosting Ensemble,GREEDY,359,0.88118243,0.017094782
GB1,AA,Boosting Ensemble,GREEDY,360,0.88118243,0.017094782
GB1,AA,Boosting Ensemble,GREEDY,361,0.88118243,0.017094782
GB1,AA,Boosting Ensemble,GREEDY,362,0.88118243,0.017094782
GB1,AA,Boosting Ensemble,GREEDY,363,0.88118243,0.017094782
GB1,AA,Boosting Ensemble,GREEDY,364,0.88118243,0.017094782
GB1,AA,Boosting Ensemble,GREEDY,365,0.88118243,0.017094782
GB1,AA,Boosting Ensemble,GREEDY,366,0.88118243,0.017094782
GB1,AA,Boosting Ensemble,GREEDY,367,0.88118243,0.017094782
GB1,AA,Boosting Ensemble,GREEDY,368,0.88118243,0.017094782
GB1,AA,Boosting Ensemble,GREEDY,369,0.88118243,0.017094782
GB1,AA,Boosting Ensemble,GREEDY,370,0.88118243,0.017094782
GB1,AA,Boosting Ensemble,GREEDY,371,0.88118243,0.017094782
GB1,AA,Boosting Ensemble,GREEDY,372,0.88118243,0.017094782
GB1,AA,Boosting Ensemble,GREEDY,373,0.88118243,0.017094782
